[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] Loaded HTML Templates (3): 
	- list.tmpl
	- 
	- edit.tmpl

[GIN-debug] POST   /todos/save               --> main.setupRouter.func1 (3 handlers)
[GIN-debug] POST   /todos/update             --> main.setupRouter.func2 (3 handlers)
[GIN-debug] GET    /todos/edit               --> main.setupRouter.func3 (3 handlers)
[GIN-debug] GET    /todos/destroy            --> main.setupRouter.func4 (3 handlers)
[GIN-debug] GET    /todos/list               --> main.setupRouter.func5 (3 handlers)
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2023/07/16 - 15:31:01 | 200 |    1.649708ms |             ::1 | GET      "/todos/list"
[GIN] 2023/07/16 - 15:32:45 | 200 |    1.534541ms |             ::1 | GET      "/todos/edit?id=25"
[GIN] 2023/07/16 - 16:04:31 | 200 |    3.324125ms |             ::1 | GET      "/todos/list"
[GIN] 2023/07/16 - 16:04:38 | 200 |     782.042µs |             ::1 | GET      "/todos/list"
[GIN] 2023/07/16 - 16:13:10 | 301 |    5.481875ms |             ::1 | POST     "/todos/save"
[GIN] 2023/07/16 - 16:13:10 | 200 |    3.235708ms |             ::1 | GET      "/todos/list"
[GIN] 2023/07/16 - 16:13:11 | 301 |    1.465334ms |             ::1 | POST     "/todos/save"
[GIN] 2023/07/16 - 16:13:11 | 200 |      862.25µs |             ::1 | GET      "/todos/list"
[GIN] 2023/07/16 - 16:13:12 | 200 |     992.958µs |             ::1 | GET      "/todos/list"
[GIN] 2023/07/16 - 16:13:16 | 301 |    1.659334ms |             ::1 | POST     "/todos/save"
[GIN] 2023/07/16 - 16:13:16 | 200 |     936.084µs |             ::1 | GET      "/todos/list"
[GIN] 2023/07/16 - 16:13:18 | 200 |     933.958µs |             ::1 | GET      "/todos/list"
